value,property,files
Hans Island,brk_name,ne_10m_admin_0_disputed_areas.geojson
Hans Island,name_sort,ne_10m_admin_0_disputed_areas.geojson
Mayotte,name,ne_10m_admin_0_disputed_areas.geojson;ne_10m_admin_1_label_points.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Mayotte,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Mayotte,brk_name,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Mayotte,name_sort,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Juan De Nova I.,name,ne_10m_admin_0_disputed_areas.geojson
Juan De Nova Island,name_long,ne_10m_admin_0_disputed_areas.geojson
Juan De Nova I.,brk_name,ne_10m_admin_0_disputed_areas.geojson
Juan De Nova Island,name_sort,ne_10m_admin_0_disputed_areas.geojson
Glorioso Is.,name,ne_10m_admin_0_disputed_areas.geojson
Glorioso Islands,name_long,ne_10m_admin_0_disputed_areas.geojson
Glorioso Is.,brk_name,ne_10m_admin_0_disputed_areas.geojson
Glorioso Islands,name_sort,ne_10m_admin_0_disputed_areas.geojson
Tromelin I.,name,ne_10m_admin_0_disputed_areas.geojson
Tromelin Island,name_long,ne_10m_admin_0_disputed_areas.geojson
Tromelin I.,brk_name,ne_10m_admin_0_disputed_areas.geojson
Tromelin Island,name_sort,ne_10m_admin_0_disputed_areas.geojson
Europa Island,name,ne_10m_admin_0_disputed_areas.geojson
Europa Island,name_long,ne_10m_admin_0_disputed_areas.geojson
Europa Island,brk_name,ne_10m_admin_0_disputed_areas.geojson
Europa Island,name_sort,ne_10m_admin_0_disputed_areas.geojson
Bassas da India,name,ne_10m_admin_0_disputed_areas.geojson
Bassas da India,name_long,ne_10m_admin_0_disputed_areas.geojson
Bassas da India,brk_name,ne_10m_admin_0_disputed_areas.geojson
Bassas da India,name_sort,ne_10m_admin_0_disputed_areas.geojson
W. Sahara,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Western Sahara,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Russia,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Russia,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
Kuril Is.,brk_name,ne_10m_admin_0_disputed_areas.geojson
Kuril Is.,name_sort,ne_10m_admin_0_disputed_areas.geojson
Somaliland,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_breakaway_disputed_areas.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Somaliland,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Somaliland,brk_name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Somaliland,name_sort,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Scotland,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Scotland,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Rockall I.,brk_name,ne_10m_admin_0_disputed_areas.geojson
